,year,month,type,city,average_price,category_vol
42,2015,January,conventional,Las Vegas,0.8,large
43,2015,January,organic,Las Vegas,1.5,small
44,2015,January,conventional,Los Angeles,0.85,wholesale
45,2015,January,organic,Los Angeles,1.25,medium
46,2015,January,conventional,Louisville,0.92,large
47,2015,January,organic,Louisville,1.48,small
48,2015,January,conventional,Miami/Ft. Lauderdale,0.97,wholesale
49,2015,January,organic,Miami/Ft. Lauderdale,1.82,small
52,2015,January,conventional,Nashville,1.0,large
53,2015,January,organic,Nashville,1.84,small
54,2015,January,conventional,New Orleans/Mobile,0.94,large
55,2015,January,organic,New Orleans/Mobile,1.41,small
56,2015,January,conventional,New York,1.09,wholesale
57,2015,January,organic,New York,1.93,medium
60,2015,January,conventional,Northern New England,1.05,large
61,2015,January,organic,Northern New England,1.83,small
62,2015,January,conventional,Orlando,1.0,large
63,2015,January,organic,Orlando,1.8,small
64,2015,January,conventional,Philadelphia,1.1,wholesale
65,2015,January,organic,Philadelphia,1.72,small
66,2015,January,conventional,Phoenix/Tucson,0.65,wholesale
67,2015,January,organic,Phoenix/Tucson,1.12,medium
68,2015,January,conventional,Pittsburgh,1.52,medium
69,2015,January,organic,Pittsburgh,1.81,small
70,2015,January,conventional,Plains,1.01,wholesale
71,2015,January,organic,Plains,1.69,medium
72,2015,January,conventional,Portland,0.97,wholesale
73,2015,January,organic,Portland,1.28,medium
74,2015,January,conventional,Raleigh/Greensboro,1.2,large
75,2015,January,organic,Raleigh/Greensboro,2.01,small
76,2015,January,conventional,Richmond/Norfolk,1.13,large
77,2015,January,organic,Richmond/Norfolk,1.54,small
78,2015,January,conventional,Roanoke,1.13,large
79,2015,January,organic,Roanoke,1.39,small
80,2015,January,conventional,Sacramento,1.05,wholesale
81,2015,January,organic,Sacramento,1.33,small
82,2015,January,conventional,San Diego,0.94,wholesale
83,2015,January,organic,San Diego,1.23,medium
84,2015,January,conventional,San Francisco,0.99,wholesale
85,2015,January,organic,San Francisco,1.18,medium
86,2015,January,conventional,Seattle,0.97,wholesale
87,2015,January,organic,Seattle,1.49,medium
88,2015,January,conventional,South Carolina,1.01,large
89,2015,January,organic,South Carolina,1.86,small
94,2015,January,conventional,Spokane,1.0,medium
95,2015,January,organic,Spokane,1.3,small
96,2015,January,conventional,St. Louis,1.15,large
97,2015,January,organic,St. Louis,1.8,small
98,2015,January,conventional,Syracuse,1.33,medium
99,2015,January,organic,Syracuse,1.72,small
100,2015,January,conventional,Tampa,0.97,large
101,2015,January,organic,Tampa,1.7,small
106,2015,January,conventional,West Tex/New Mexico,0.75,wholesale
107,2015,January,organic,West Tex/New Mexico,1.64,small
108,2015,January,conventional,Albany,1.24,medium
109,2015,January,organic,Albany,1.77,small
110,2015,January,conventional,Atlanta,1.11,wholesale
111,2015,January,organic,Atlanta,1.84,small
112,2015,January,conventional,Baltimore/Washington,1.17,wholesale
113,2015,January,organic,Baltimore/Washington,1.22,medium
114,2015,January,conventional,Boise,1.18,medium
115,2015,January,organic,Boise,1.44,small
116,2015,January,conventional,Boston,1.1,wholesale
117,2015,January,organic,Boston,1.94,small
118,2015,January,conventional,Buffalo/Rochester,1.54,large
119,2015,January,organic,Buffalo/Rochester,1.59,small
120,2015,January,conventional,California,0.92,wholesale
121,2015,January,organic,California,1.1,large
122,2015,January,conventional,Charlotte,1.26,large
123,2015,January,organic,Charlotte,2.29,small
124,2015,January,conventional,Chicago,1.15,wholesale
125,2015,January,organic,Chicago,1.79,medium
126,2015,January,conventional,Cincinnati/Dayton,0.92,large
127,2015,January,organic,Cincinnati/Dayton,1.32,small
128,2015,January,conventional,Columbus,0.97,large
129,2015,January,organic,Columbus,1.68,small
130,2015,January,conventional,Dallas/Ft. Worth,0.76,wholesale
131,2015,January,organic,Dallas/Ft. Worth,1.35,small
132,2015,January,conventional,Denver,1.09,wholesale
133,2015,January,organic,Denver,1.28,medium
134,2015,January,conventional,Detroit,1.08,large
135,2015,January,organic,Detroit,1.87,small
136,2015,January,conventional,Grand Rapids,1.03,large
137,2015,January,organic,Grand Rapids,1.87,small
138,2015,January,conventional,Great Lakes,1.1,wholesale
139,2015,January,organic,Great Lakes,1.69,medium
140,2015,January,conventional,Harrisburg/Scranton,1.26,large
141,2015,January,organic,Harrisburg/Scranton,1.65,small
142,2015,January,conventional,Hartford/Springfield,1.38,large
143,2015,January,organic,Hartford/Springfield,2.28,small
144,2015,January,conventional,Houston,0.78,wholesale
145,2015,January,organic,Houston,1.26,small
146,2015,January,conventional,Indianapolis,1.25,large
147,2015,January,organic,Indianapolis,1.83,small
148,2015,January,conventional,Jacksonville,1.2,large
149,2015,January,organic,Jacksonville,1.91,small
150,2015,January,conventional,Las Vegas,0.93,large
151,2015,January,organic,Las Vegas,1.54,small
152,2015,January,conventional,Los Angeles,0.85,wholesale
153,2015,January,organic,Los Angeles,1.08,medium
154,2015,January,conventional,Louisville,1.05,medium
155,2015,January,organic,Louisville,1.79,small
156,2015,January,conventional,Miami/Ft. Lauderdale,1.28,large
157,2015,January,organic,Miami/Ft. Lauderdale,1.85,small
160,2015,January,conventional,Nashville,1.07,large
161,2015,January,organic,Nashville,1.92,small
162,2015,January,conventional,New Orleans/Mobile,0.97,large
163,2015,January,organic,New Orleans/Mobile,1.44,small
164,2015,January,conventional,New York,1.34,wholesale
165,2015,January,organic,New York,2.03,medium
168,2015,January,conventional,Northern New England,1.06,large
169,2015,January,organic,Northern New England,1.88,small
170,2015,January,conventional,Orlando,1.29,large
171,2015,January,organic,Orlando,1.92,small
172,2015,January,conventional,Philadelphia,1.38,large
173,2015,January,organic,Philadelphia,1.63,small
174,2015,January,conventional,Phoenix/Tucson,0.61,wholesale
175,2015,January,organic,Phoenix/Tucson,1.36,medium
176,2015,January,conventional,Pittsburgh,1.54,medium
177,2015,January,organic,Pittsburgh,1.82,small
178,2015,January,conventional,Plains,1.09,wholesale
179,2015,January,organic,Plains,1.68,medium
180,2015,January,conventional,Portland,1.05,wholesale
181,2015,January,organic,Portland,1.22,medium
182,2015,January,conventional,Raleigh/Greensboro,1.24,large
183,2015,January,organic,Raleigh/Greensboro,1.98,small
184,2015,January,conventional,Richmond/Norfolk,1.15,large
185,2015,January,organic,Richmond/Norfolk,1.66,small
186,2015,January,conventional,Roanoke,1.16,large
187,2015,January,organic,Roanoke,1.47,small
188,2015,January,conventional,Sacramento,1.09,wholesale
189,2015,January,organic,Sacramento,1.27,small
190,2015,January,conventional,San Diego,0.82,wholesale
191,2015,January,organic,San Diego,1.05,medium
192,2015,January,conventional,San Francisco,1.03,wholesale
193,2015,January,organic,San Francisco,1.12,medium
194,2015,January,conventional,Seattle,1.06,wholesale
195,2015,January,organic,Seattle,1.46,medium
196,2015,January,conventional,South Carolina,1.1,large
197,2015,January,organic,South Carolina,2.06,small
202,2015,January,conventional,Spokane,1.07,medium
203,2015,January,organic,Spokane,1.38,small
204,2015,January,conventional,St. Louis,1.29,large
205,2015,January,organic,St. Louis,1.84,small
206,2015,January,conventional,Syracuse,1.45,medium
207,2015,January,organic,Syracuse,1.66,small
208,2015,January,conventional,Tampa,1.24,large
209,2015,January,organic,Tampa,1.84,small
214,2015,January,conventional,West Tex/New Mexico,0.92,wholesale
215,2015,January,organic,West Tex/New Mexico,1.69,small
216,2015,January,conventional,Albany,1.17,medium
217,2015,January,organic,Albany,1.93,small
218,2015,January,conventional,Atlanta,1.11,wholesale
219,2015,January,organic,Atlanta,1.86,small
220,2015,January,conventional,Baltimore/Washington,1.23,wholesale
221,2015,January,organic,Baltimore/Washington,1.41,medium
222,2015,January,conventional,Boise,1.08,medium
223,2015,January,organic,Boise,1.44,small
224,2015,January,conventional,Boston,1.23,wholesale
225,2015,January,organic,Boston,2.0,small
226,2015,January,conventional,Buffalo/Rochester,1.52,large
227,2015,January,organic,Buffalo/Rochester,1.64,small
228,2015,January,conventional,California,1.02,wholesale
229,2015,January,organic,California,1.24,large
230,2015,January,conventional,Charlotte,1.25,large
231,2015,January,organic,Charlotte,2.15,small
232,2015,January,conventional,Chicago,1.14,wholesale
233,2015,January,organic,Chicago,1.81,medium
234,2015,January,conventional,Cincinnati/Dayton,0.93,large
235,2015,January,organic,Cincinnati/Dayton,1.37,small
236,2015,January,conventional,Columbus,1.02,large
237,2015,January,organic,Columbus,1.84,small
238,2015,January,conventional,Dallas/Ft. Worth,0.76,wholesale
239,2015,January,organic,Dallas/Ft. Worth,1.28,medium
240,2015,January,conventional,Denver,0.99,wholesale
241,2015,January,organic,Denver,1.1,medium
242,2015,January,conventional,Detroit,1.1,large
243,2015,January,organic,Detroit,1.9,small
244,2015,January,conventional,Grand Rapids,1.07,large
245,2015,January,organic,Grand Rapids,1.88,small
246,2015,January,conventional,Great Lakes,1.08,wholesale
247,2015,January,organic,Great Lakes,1.73,medium
248,2015,January,conventional,Harrisburg/Scranton,1.24,large
249,2015,January,organic,Harrisburg/Scranton,1.94,small
250,2015,January,conventional,Hartford/Springfield,1.39,large
251,2015,January,organic,Hartford/Springfield,2.35,small
252,2015,January,conventional,Houston,0.77,wholesale
253,2015,January,organic,Houston,1.2,small
254,2015,January,conventional,Indianapolis,1.14,large
255,2015,January,organic,Indianapolis,1.96,small
256,2015,January,conventional,Jacksonville,1.27,large
257,2015,January,organic,Jacksonville,1.82,small
258,2015,January,conventional,Las Vegas,1.06,large
259,2015,January,organic,Las Vegas,1.63,small
260,2015,January,conventional,Los Angeles,0.89,wholesale
261,2015,January,organic,Los Angeles,1.29,medium
262,2015,January,conventional,Louisville,1.06,medium
263,2015,January,organic,Louisville,1.79,small
264,2015,January,conventional,Miami/Ft. Lauderdale,1.3,wholesale
265,2015,January,organic,Miami/Ft. Lauderdale,1.87,small
268,2015,January,conventional,Nashville,1.08,large
269,2015,January,organic,Nashville,1.81,small
270,2015,January,conventional,New Orleans/Mobile,1.03,large
271,2015,January,organic,New Orleans/Mobile,0.98,small
272,2015,January,conventional,New York,1.37,wholesale
273,2015,January,organic,New York,2.08,small
276,2015,January,conventional,Northern New England,1.12,large
277,2015,January,organic,Northern New England,1.88,small
278,2015,January,conventional,Orlando,1.33,large
279,2015,January,organic,Orlando,1.79,small
280,2015,January,conventional,Philadelphia,1.4,large
281,2015,January,organic,Philadelphia,1.93,small
282,2015,January,conventional,Phoenix/Tucson,0.67,wholesale
283,2015,January,organic,Phoenix/Tucson,1.36,medium
284,2015,January,conventional,Pittsburgh,1.47,medium
285,2015,January,organic,Pittsburgh,1.55,small
286,2015,January,conventional,Plains,1.02,wholesale
287,2015,January,organic,Plains,1.8,medium
288,2015,January,conventional,Portland,1.11,wholesale
289,2015,January,organic,Portland,1.24,medium
290,2015,January,conventional,Raleigh/Greensboro,1.22,large
291,2015,January,organic,Raleigh/Greensboro,1.97,small
292,2015,January,conventional,Richmond/Norfolk,1.18,large
293,2015,January,organic,Richmond/Norfolk,1.62,small
294,2015,January,conventional,Roanoke,1.18,large
295,2015,January,organic,Roanoke,1.48,small
296,2015,January,conventional,Sacramento,1.22,large
297,2015,January,organic,Sacramento,1.13,medium
298,2015,January,conventional,San Diego,1.01,wholesale
299,2015,January,organic,San Diego,1.29,medium
300,2015,January,conventional,San Francisco,1.22,wholesale
301,2015,January,organic,San Francisco,1.27,medium
302,2015,January,conventional,Seattle,1.2,wholesale
303,2015,January,organic,Seattle,1.45,medium
304,2015,January,conventional,South Carolina,1.15,large
305,2015,January,organic,South Carolina,1.93,small
310,2015,January,conventional,Spokane,1.18,medium
311,2015,January,organic,Spokane,1.44,small
312,2015,January,conventional,St. Louis,1.28,large
313,2015,January,organic,St. Louis,1.92,small
314,2015,January,conventional,Syracuse,1.4,medium
315,2015,January,organic,Syracuse,1.84,small
316,2015,January,conventional,Tampa,1.27,large
317,2015,January,organic,Tampa,1.73,small
322,2015,January,conventional,West Tex/New Mexico,0.8,wholesale
323,2015,January,organic,West Tex/New Mexico,1.71,small
324,2015,January,conventional,Albany,1.06,medium
325,2015,January,organic,Albany,1.89,small
326,2015,January,conventional,Atlanta,1.1,wholesale
327,2015,January,organic,Atlanta,1.87,small
328,2015,January,conventional,Baltimore/Washington,1.2,wholesale
329,2015,January,organic,Baltimore/Washington,1.41,medium
330,2015,January,conventional,Boise,1.03,medium
331,2015,January,organic,Boise,1.82,small
332,2015,January,conventional,Boston,1.17,wholesale
333,2015,January,organic,Boston,2.01,small
334,2015,January,conventional,Buffalo/Rochester,1.5,large
335,2015,January,organic,Buffalo/Rochester,1.6,small
336,2015,January,conventional,California,1.06,wholesale
337,2015,January,organic,California,1.3,large
338,2015,January,conventional,Charlotte,1.18,large
339,2015,January,organic,Charlotte,2.29,small
340,2015,January,conventional,Chicago,1.22,wholesale
341,2015,January,organic,Chicago,1.83,small
342,2015,January,conventional,Cincinnati/Dayton,0.93,large
343,2015,January,organic,Cincinnati/Dayton,1.26,small
344,2015,January,conventional,Columbus,1.08,large
345,2015,January,organic,Columbus,1.67,small
346,2015,January,conventional,Dallas/Ft. Worth,0.8,wholesale
347,2015,January,organic,Dallas/Ft. Worth,1.34,small
348,2015,January,conventional,Denver,1.02,wholesale
349,2015,January,organic,Denver,1.33,medium
350,2015,January,conventional,Detroit,1.19,large
351,2015,January,organic,Detroit,1.62,small
352,2015,January,conventional,Grand Rapids,1.19,large
353,2015,January,organic,Grand Rapids,2.01,small
354,2015,January,conventional,Great Lakes,1.13,wholesale
355,2015,January,organic,Great Lakes,1.63,medium
356,2015,January,conventional,Harrisburg/Scranton,1.17,large
357,2015,January,organic,Harrisburg/Scranton,1.8,small
358,2015,January,conventional,Hartford/Springfield,1.35,large
359,2015,January,organic,Hartford/Springfield,2.21,small
360,2015,January,conventional,Houston,0.77,wholesale
361,2015,January,organic,Houston,1.24,small
362,2015,January,conventional,Indianapolis,1.06,large
363,2015,January,organic,Indianapolis,1.78,small
364,2015,January,conventional,Jacksonville,1.2,large
365,2015,January,organic,Jacksonville,1.88,small
366,2015,January,conventional,Las Vegas,1.06,large
367,2015,January,organic,Las Vegas,1.66,small
368,2015,January,conventional,Los Angeles,0.96,wholesale
369,2015,January,organic,Los Angeles,1.23,medium
370,2015,January,conventional,Louisville,1.02,medium
371,2015,January,organic,Louisville,1.68,small
372,2015,January,conventional,Miami/Ft. Lauderdale,1.27,wholesale
373,2015,January,organic,Miami/Ft. Lauderdale,1.84,small
376,2015,January,conventional,Nashville,1.07,large
377,2015,January,organic,Nashville,1.71,small
378,2015,January,conventional,New Orleans/Mobile,0.94,large
379,2015,January,organic,New Orleans/Mobile,1.47,small
380,2015,January,conventional,New York,1.36,wholesale
381,2015,January,organic,New York,2.02,medium
384,2015,January,conventional,Northern New England,1.06,large
385,2015,January,organic,Northern New England,1.9,small
386,2015,January,conventional,Orlando,1.28,large
387,2015,January,organic,Orlando,1.82,small
388,2015,January,conventional,Philadelphia,1.36,large
389,2015,January,organic,Philadelphia,1.82,small
390,2015,January,conventional,Phoenix/Tucson,0.61,wholesale
391,2015,January,organic,Phoenix/Tucson,1.54,small
392,2015,January,conventional,Pittsburgh,1.32,large
393,2015,January,organic,Pittsburgh,1.7,small
394,2015,January,conventional,Plains,1.08,wholesale
395,2015,January,organic,Plains,1.8,medium
396,2015,January,conventional,Portland,1.09,wholesale
397,2015,January,organic,Portland,1.35,medium
398,2015,January,conventional,Raleigh/Greensboro,1.16,large
399,2015,January,organic,Raleigh/Greensboro,2.02,small
400,2015,January,conventional,Richmond/Norfolk,1.17,large
401,2015,January,organic,Richmond/Norfolk,1.57,small
402,2015,January,conventional,Roanoke,1.15,large
403,2015,January,organic,Roanoke,1.47,small
404,2015,January,conventional,Sacramento,1.19,large
405,2015,January,organic,Sacramento,1.44,small
406,2015,January,conventional,San Diego,1.02,wholesale
407,2015,January,organic,San Diego,1.26,small
408,2015,January,conventional,San Francisco,1.21,wholesale
409,2015,January,organic,San Francisco,1.34,medium
410,2015,January,conventional,Seattle,1.26,wholesale
411,2015,January,organic,Seattle,1.7,medium
412,2015,January,conventional,South Carolina,1.06,large
413,2015,January,organic,South Carolina,2.01,small
418,2015,January,conventional,Spokane,1.21,medium
419,2015,January,organic,Spokane,1.66,small
420,2015,January,conventional,St. Louis,1.17,large
421,2015,January,organic,St. Louis,1.93,small
422,2015,January,conventional,Syracuse,1.37,medium
423,2015,January,organic,Syracuse,1.77,small
424,2015,January,conventional,Tampa,1.21,large
425,2015,January,organic,Tampa,1.75,small
430,2015,January,conventional,West Tex/New Mexico,0.8,wholesale
431,2015,January,organic,West Tex/New Mexico,1.63,small
432,2015,February,conventional,Albany,0.99,medium
433,2015,February,organic,Albany,1.83,small
434,2015,February,conventional,Atlanta,0.96,wholesale
435,2015,February,organic,Atlanta,1.44,small
436,2015,February,conventional,Baltimore/Washington,1.06,wholesale
437,2015,February,organic,Baltimore/Washington,1.15,medium
438,2015,February,conventional,Boise,0.91,large
439,2015,February,organic,Boise,1.43,small
440,2015,February,conventional,Boston,1.22,wholesale
441,2015,February,organic,Boston,1.78,small
442,2015,February,conventional,Buffalo/Rochester,1.33,large
443,2015,February,organic,Buffalo/Rochester,1.55,small
444,2015,February,conventional,California,0.85,wholesale
445,2015,February,organic,California,1.11,large
446,2015,February,conventional,Charlotte,0.98,large
447,2015,February,organic,Charlotte,1.93,small
448,2015,February,conventional,Chicago,0.91,wholesale
449,2015,February,organic,Chicago,1.52,medium
450,2015,February,conventional,Cincinnati/Dayton,0.86,large
451,2015,February,organic,Cincinnati/Dayton,1.19,small
452,2015,February,conventional,Columbus,0.87,large
453,2015,February,organic,Columbus,1.63,small
454,2015,February,conventional,Dallas/Ft. Worth,0.68,wholesale
455,2015,February,organic,Dallas/Ft. Worth,1.24,medium
456,2015,February,conventional,Denver,0.93,wholesale
457,2015,February,organic,Denver,1.29,medium
458,2015,February,conventional,Detroit,0.92,wholesale
459,2015,February,organic,Detroit,1.55,small
460,2015,February,conventional,Grand Rapids,0.94,large
461,2015,February,organic,Grand Rapids,1.98,small
462,2015,February,conventional,Great Lakes,0.91,wholesale
463,2015,February,organic,Great Lakes,1.53,medium
464,2015,February,conventional,Harrisburg/Scranton,1.06,large
465,2015,February,organic,Harrisburg/Scranton,1.65,small
466,2015,February,conventional,Hartford/Springfield,1.32,large
467,2015,February,organic,Hartford/Springfield,1.54,small
468,2015,February,conventional,Houston,0.72,wholesale
469,2015,February,organic,Houston,1.15,medium
470,2015,February,conventional,Indianapolis,0.92,large
471,2015,February,organic,Indianapolis,1.69,small
472,2015,February,conventional,Jacksonville,0.92,large
473,2015,February,organic,Jacksonville,1.76,small
474,2015,February,conventional,Las Vegas,0.94,large
475,2015,February,organic,Las Vegas,1.6,small
476,2015,February,conventional,Los Angeles,0.74,wholesale
477,2015,February,organic,Los Angeles,1.12,medium
478,2015,February,conventional,Louisville,0.9,large
479,2015,February,organic,Louisville,1.55,small
480,2015,February,conventional,Miami/Ft. Lauderdale,0.95,wholesale
481,2015,February,organic,Miami/Ft. Lauderdale,1.73,small
484,2015,February,conventional,Nashville,0.94,large
485,2015,February,organic,Nashville,1.65,small
486,2015,February,conventional,New Orleans/Mobile,0.81,large
487,2015,February,organic,New Orleans/Mobile,1.48,small
488,2015,February,conventional,New York,1.36,wholesale
489,2015,February,organic,New York,1.93,medium
492,2015,February,conventional,Northern New England,1.06,wholesale
493,2015,February,organic,Northern New England,1.89,small
494,2015,February,conventional,Orlando,0.95,wholesale
495,2015,February,organic,Orlando,1.76,small
496,2015,February,conventional,Philadelphia,1.14,wholesale
497,2015,February,organic,Philadelphia,1.69,small
498,2015,February,conventional,Phoenix/Tucson,0.56,wholesale
499,2015,February,organic,Phoenix/Tucson,1.18,medium
500,2015,February,conventional,Pittsburgh,1.25,large
501,2015,February,organic,Pittsburgh,1.77,small
502,2015,February,conventional,Plains,0.92,wholesale
503,2015,February,organic,Plains,1.67,medium
504,2015,February,conventional,Portland,0.98,wholesale
505,2015,February,organic,Portland,1.2,medium
506,2015,February,conventional,Raleigh/Greensboro,0.99,large
507,2015,February,organic,Raleigh/Greensboro,1.79,small
508,2015,February,conventional,Richmond/Norfolk,0.97,large
509,2015,February,organic,Richmond/Norfolk,1.58,small
510,2015,February,conventional,Roanoke,1.0,large
511,2015,February,organic,Roanoke,1.5,small
512,2015,February,conventional,Sacramento,1.04,wholesale
513,2015,February,organic,Sacramento,1.22,medium
514,2015,February,conventional,San Diego,0.85,wholesale
515,2015,February,organic,San Diego,1.11,medium
516,2015,February,conventional,San Francisco,0.91,wholesale
517,2015,February,organic,San Francisco,1.06,medium
518,2015,February,conventional,Seattle,0.97,wholesale
519,2015,February,organic,Seattle,1.44,medium
520,2015,February,conventional,South Carolina,0.91,wholesale
521,2015,February,organic,South Carolina,1.66,small
526,2015,February,conventional,Spokane,0.97,large
527,2015,February,organic,Spokane,1.38,small
528,2015,February,conventional,St. Louis,1.1,large
529,2015,February,organic,St. Louis,1.93,small
530,2015,February,conventional,Syracuse,1.26,medium
531,2015,February,organic,Syracuse,1.65,small
532,2015,February,conventional,Tampa,0.92,wholesale
533,2015,February,organic,Tampa,1.68,small
538,2015,February,conventional,West Tex/New Mexico,0.71,wholesale
539,2015,February,organic,West Tex/New Mexico,1.77,small
540,2015,February,conventional,Albany,0.99,medium
541,2015,February,organic,Albany,1.59,small
542,2015,February,conventional,Atlanta,1.03,wholesale
543,2015,February,organic,Atlanta,1.29,medium
544,2015,February,conventional,Baltimore/Washington,1.09,wholesale
545,2015,February,organic,Baltimore/Washington,1.43,medium
546,2015,February,conventional,Boise,1.07,medium
547,2015,February,organic,Boise,1.35,small
548,2015,February,conventional,Boston,1.04,wholesale
549,2015,February,organic,Boston,1.91,small
550,2015,February,conventional,Buffalo/Rochester,1.36,large
551,2015,February,organic,Buffalo/Rochester,1.54,small
552,2015,February,conventional,California,0.91,wholesale
553,2015,February,organic,California,1.35,large
554,2015,February,conventional,Charlotte,1.17,large
555,2015,February,organic,Charlotte,1.87,small
556,2015,February,conventional,Chicago,1.13,wholesale
557,2015,February,organic,Chicago,1.78,small
558,2015,February,conventional,Cincinnati/Dayton,0.93,large
559,2015,February,organic,Cincinnati/Dayton,1.24,small
560,2015,February,conventional,Columbus,0.96,large
561,2015,February,organic,Columbus,1.78,small
562,2015,February,conventional,Dallas/Ft. Worth,0.67,wholesale
563,2015,February,organic,Dallas/Ft. Worth,1.35,small
564,2015,February,conventional,Denver,0.95,wholesale
565,2015,February,organic,Denver,1.4,medium
566,2015,February,conventional,Detroit,1.11,large
567,2015,February,organic,Detroit,1.86,small
568,2015,February,conventional,Grand Rapids,1.24,large
569,2015,February,organic,Grand Rapids,1.79,small
570,2015,February,conventional,Great Lakes,1.07,wholesale
571,2015,February,organic,Great Lakes,1.64,medium
572,2015,February,conventional,Harrisburg/Scranton,1.02,large
573,2015,February,organic,Harrisburg/Scranton,1.67,small
574,2015,February,conventional,Hartford/Springfield,1.09,large
575,2015,February,organic,Hartford/Springfield,2.37,small
576,2015,February,conventional,Houston,0.7,wholesale
577,2015,February,organic,Houston,1.25,small
578,2015,February,conventional,Indianapolis,0.98,large
579,2015,February,organic,Indianapolis,1.68,small
580,2015,February,conventional,Jacksonville,1.21,large
581,2015,February,organic,Jacksonville,1.71,small
582,2015,February,conventional,Las Vegas,1.01,large
583,2015,February,organic,Las Vegas,1.68,small
584,2015,February,conventional,Los Angeles,0.9,wholesale
585,2015,February,organic,Los Angeles,1.29,medium
586,2015,February,conventional,Louisville,1.0,medium
587,2015,February,organic,Louisville,1.61,small
588,2015,February,conventional,Miami/Ft. Lauderdale,1.25,large
589,2015,February,organic,Miami/Ft. Lauderdale,1.72,small
592,2015,February,conventional,Nashville,0.94,large
593,2015,February,organic,Nashville,1.64,small
594,2015,February,conventional,New Orleans/Mobile,0.93,large
595,2015,February,organic,New Orleans/Mobile,1.53,small
596,2015,February,conventional,New York,1.11,wholesale
597,2015,February,organic,New York,1.95,medium
600,2015,February,conventional,Northern New England,1.03,large
601,2015,February,organic,Northern New England,1.88,small
602,2015,February,conventional,Orlando,1.23,large
603,2015,February,organic,Orlando,1.75,small
604,2015,February,conventional,Philadelphia,1.09,wholesale
605,2015,February,organic,Philadelphia,1.76,small
606,2015,February,conventional,Phoenix/Tucson,0.64,wholesale
607,2015,February,organic,Phoenix/Tucson,1.55,medium
608,2015,February,conventional,Pittsburgh,1.38,medium
609,2015,February,organic,Pittsburgh,1.6,small
610,2015,February,conventional,Plains,0.98,wholesale
611,2015,February,organic,Plains,1.54,medium
612,2015,February,conventional,Portland,1.08,wholesale
613,2015,February,organic,Portland,1.23,medium
614,2015,February,conventional,Raleigh/Greensboro,1.14,large
615,2015,February,organic,Raleigh/Greensboro,1.73,small
616,2015,February,conventional,Richmond/Norfolk,1.06,large
617,2015,February,organic,Richmond/Norfolk,1.55,small
618,2015,February,conventional,Roanoke,1.02,large
619,2015,February,organic,Roanoke,1.44,small
620,2015,February,conventional,Sacramento,0.98,wholesale
621,2015,February,organic,Sacramento,1.5,small
622,2015,February,conventional,San Diego,0.98,wholesale
623,2015,February,organic,San Diego,1.29,medium
624,2015,February,conventional,San Francisco,0.92,wholesale
625,2015,February,organic,San Francisco,1.35,medium
626,2015,February,conventional,Seattle,1.08,wholesale
627,2015,February,organic,Seattle,1.4,medium
628,2015,February,conventional,South Carolina,1.06,large
629,2015,February,organic,South Carolina,1.56,small
634,2015,February,conventional,Spokane,1.03,medium
635,2015,February,organic,Spokane,1.43,small
636,2015,February,conventional,St. Louis,1.09,large
637,2015,February,organic,St. Louis,1.89,small
638,2015,February,conventional,Syracuse,1.25,medium
639,2015,February,organic,Syracuse,1.65,small
640,2015,February,conventional,Tampa,1.19,large
641,2015,February,organic,Tampa,1.65,small
646,2015,February,conventional,West Tex/New Mexico,0.72,wholesale
